argument_month,caseOrigin_group,caseSource_group,certReason_group,chief,complex_consolidated_disagreement,days_from_term_start_to_argument,days_from_term_start_to_decision,decision_month,decision_year,docket_category,had_reargument,is_AdminAction_x_Economic,is_FedCirc_Conflict,is_Govt_vs_Business,is_Individual_vs_Govt,is_State_vs_State,is_late_term_argument,is_late_term_decision,issue,issueArea_name,issue_x_jurisdiction,jurisdiction_group,lawSupp,lawType_group,lcDisagreement,lcDispositionDirection,lcDisposition_group,lc_disagree_direction,naturalCourt,num_dockets_in_case,petitioner_group,respondent_group,term,threeJudgeFdc,threeJudge_x_issue,duration_days,lcDisagreement_is_missing,threeJudgeFdc_is_missing
12,Federal,Federal,Substantive Reasons,Vinson,0.0,78,111,1,1947,Merits/Other,0,0,0,0,0,0,1,0,90120.0,Judicial Power,Judicial Power_via_Certiorari,Discretionary,600.0,Statutory,0.0,1.0,Other/Unknown,LC_Agree_Conservative,1301,1,Other/Unknown,Government,1946,0.0,Judicial Power_3Judge_0.0,33.0,0,0
1,Federal,Federal,Substantive Reasons,Vinson,0.0,98,111,1,1947,Merits/Other,0,0,0,0,0,0,0,0,90120.0,Judicial Power,Judicial Power_via_Certiorari,Discretionary,,Other/Unknown,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,1,Government,Other/Unknown,1946,0.0,Judicial Power_3Judge_0.0,13.0,0,0
12,State,State,Substantive Reasons,Vinson,0.0,69,111,1,1947,Merits/Other,0,0,0,0,0,0,1,0,110030.0,Other Non-Constitutional,Interstate Relations_via_Certiorari,Discretionary,143.0,Constitutional,0.0,3.0,Affirmed,LC_Unspec/Other,1301,1,Private Entities,Private Entities,1946,0.0,Interstate Relations_3Judge_0.0,42.0,0,0
12,Federal,Federal,Substantive Reasons,Vinson,0.0,80,111,1,1947,Merits/Other,0,0,0,0,0,0,1,0,80030.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,112.0,Constitutional,0.0,1.0,Reversed/Modified,LC_Agree_Conservative,1301,1,Other/Unknown,Government,1946,0.0,Economic Activity_3Judge_0.0,31.0,0,0
12,Federal,Federal,Procedural/Administrative,Vinson,0.0,80,111,1,1947,Merits/Other,0,1,0,0,0,0,1,0,80060.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,600.0,Statutory,0.0,2.0,Other/Unknown,LC_Agree_Liberal,1301,1,Government,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,31.0,0,0
1,Federal,Federal,Substantive Reasons,Vinson,0.0,97,125,2,1947,Merits/Other,0,0,0,1,0,0,0,0,80220.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,600.0,Statutory,0.0,1.0,Reversed/Modified,LC_Agree_Conservative,1301,2,Government,Private Entities,1946,0.0,Economic Activity_3Judge_0.0,28.0,0,0
1,Federal,Federal,Substantive Reasons,Vinson,0.0,97,125,2,1947,Merits/Other,0,0,0,1,0,0,0,0,80220.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,600.0,Statutory,0.0,1.0,Reversed/Modified,LC_Agree_Conservative,1301,2,Government,Private Entities,1946,0.0,Economic Activity_3Judge_0.0,28.0,0,0
1,Federal,Federal,Substantive Reasons,Vinson,0.0,99,125,2,1947,Merits/Other,0,0,0,0,0,0,0,0,40070.0,Other Constitutional,Due Process_via_Certiorari,Discretionary,211.0,Constitutional,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,5,Other/Unknown,Government,1946,0.0,Due Process_3Judge_0.0,26.0,0,0
1,Federal,Federal,Substantive Reasons,Vinson,0.0,99,125,2,1947,Merits/Other,0,0,0,0,0,0,0,0,40070.0,Other Constitutional,Due Process_via_Certiorari,Discretionary,211.0,Constitutional,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,5,Other/Unknown,Government,1946,0.0,Due Process_3Judge_0.0,26.0,0,0
1,Federal,Federal,Substantive Reasons,Vinson,0.0,99,125,2,1947,Merits/Other,0,0,0,0,0,0,0,0,40070.0,Other Constitutional,Due Process_via_Certiorari,Discretionary,600.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,5,Other/Unknown,Government,1946,0.0,Due Process_3Judge_0.0,26.0,0,0
